age,nbr_homme
0,352818
1,363956
2,369603
3,377277
4,388504
5,399454
6,409367
7,415669
8,425344
9,426310
10,436984
11,432418
12,437249
13,431859
14,439177
15,432730
16,430748
17,425876
18,423183
19,423936
20,424090
21,394554
22,385239
23,369733
24,370000
25,365478
26,353573
27,355675
28,372831
29,381517
30,390980
31,390057
32,396313
33,396541
34,402781
35,402370
36,400319
37,396517
38,421454
39,425310
40,429865
41,407539
42,399663
43,402178
44,391122
45,405757
46,426102
47,446349
48,457352
49,455673
50,444450
51,437073
52,429244
53,427886
54,436858
55,436774
56,438181
57,430619
58,415611
59,413981
60,407825
61,403449
62,390717
63,386533
64,379975
65,372761
66,369693
67,360414
68,362296
69,351276
70,360825
71,350027
72,346176
73,334915
74,310618
75,228713
76,220666
77,210217
78,189855
79,163831
80,164274
81,164398
82,154409
83,143091
84,134285
85,118873
86,110690
87,95657
88,86403
89,72755
90,61563
91,46929
92,37496
93,28807
94,21463
95,16299
96,11542
97,7785
98,4902
99,3485
100,2143
101,779
102,454
103,270
104,139
105,556